                                                                              23 Dec 2020 13:44:59
Approved AGI Educational Alliance Partner
Satellite-Satellite2-To-AreaTarget-United_States_of_America:  Access Summary Report


Satellite2-To-United_States_of_America
--------------------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                     246    24 Jan 2021 22:30:29.744    24 Jan 2021 22:37:17.053           407.310
                     247    25 Jan 2021 00:01:58.458    25 Jan 2021 00:14:46.269           767.811
                     248    25 Jan 2021 01:35:22.656    25 Jan 2021 01:51:03.236           940.580
                     249    25 Jan 2021 03:08:46.703    25 Jan 2021 03:26:18.857          1052.154
                     250    25 Jan 2021 04:43:30.785    25 Jan 2021 05:01:46.830          1096.045
                     251    25 Jan 2021 06:18:48.880    25 Jan 2021 06:37:06.226          1097.346
                     252    25 Jan 2021 07:54:42.798    25 Jan 2021 08:10:12.685           929.887
                     253    25 Jan 2021 09:32:36.013    25 Jan 2021 09:36:30.039           234.026
                     254    25 Jan 2021 22:39:09.453    25 Jan 2021 22:46:34.456           445.002
                     255    26 Jan 2021 00:10:41.276    26 Jan 2021 00:23:56.812           795.536
                     256    26 Jan 2021 01:43:52.342    26 Jan 2021 02:00:01.655           969.313
                     257    26 Jan 2021 03:17:35.455    26 Jan 2021 03:35:15.360          1059.905
                     258    26 Jan 2021 04:52:27.694    26 Jan 2021 05:10:47.784          1100.090
                     259    26 Jan 2021 06:27:48.193    26 Jan 2021 06:45:57.707          1089.513
                     260    26 Jan 2021 08:03:50.844    26 Jan 2021 08:18:08.405           857.561
                     261    26 Jan 2021 22:47:53.221    26 Jan 2021 22:55:48.123           474.903
                     262    27 Jan 2021 00:19:27.417    27 Jan 2021 00:33:08.831           821.415
                     263    27 Jan 2021 01:52:28.723    27 Jan 2021 02:08:58.854           990.131
                     264    27 Jan 2021 03:26:25.818    27 Jan 2021 03:44:11.102          1065.285
                     265    27 Jan 2021 05:01:23.990    27 Jan 2021 05:19:47.866          1103.876
                     266    27 Jan 2021 06:36:48.237    27 Jan 2021 06:54:46.868          1078.631
                     267    27 Jan 2021 08:12:59.937    27 Jan 2021 08:25:54.061           774.124
                     268    27 Jan 2021 22:55:32.077    27 Jan 2021 23:04:59.276           567.198
                     269    28 Jan 2021 00:28:16.271    28 Jan 2021 00:42:17.076           840.805
                     270    28 Jan 2021 02:01:09.634    28 Jan 2021 02:17:54.855          1005.221
                     271    28 Jan 2021 03:35:17.666    28 Jan 2021 03:53:06.021          1068.355
                     272    28 Jan 2021 05:10:20.991    28 Jan 2021 05:28:47.460          1106.468
                     273    28 Jan 2021 06:45:49.185    28 Jan 2021 07:03:33.292          1064.108
                     274    28 Jan 2021 08:22:11.684    28 Jan 2021 08:34:31.575           739.890
                     275    28 Jan 2021 21:33:11.529    28 Jan 2021 21:35:39.668           148.140
                     276    28 Jan 2021 23:03:46.989    28 Jan 2021 23:14:21.359           634.371
                     277    29 Jan 2021 00:37:04.631    29 Jan 2021 00:51:22.618           857.986
                     278    29 Jan 2021 02:09:53.924    29 Jan 2021 02:26:50.567          1016.643
                     279    29 Jan 2021 03:44:10.838    29 Jan 2021 04:02:03.636          1072.798
                     280    29 Jan 2021 05:19:18.630    29 Jan 2021 05:37:46.106          1107.476
                     281    29 Jan 2021 06:54:51.149    29 Jan 2021 07:12:16.392          1045.243
                     282    29 Jan 2021 08:31:27.150    29 Jan 2021 08:43:02.601           695.450
                     283    29 Jan 2021 21:41:11.446    29 Jan 2021 21:45:35.058           263.612
                     284    29 Jan 2021 23:12:15.530    29 Jan 2021 23:23:41.145           685.615
                     285    30 Jan 2021 00:45:46.131    30 Jan 2021 01:00:26.060           879.929
                     286    30 Jan 2021 02:18:40.897    30 Jan 2021 02:35:49.125          1028.228
                     287    30 Jan 2021 03:53:05.158    30 Jan 2021 04:11:06.357          1081.200
                     288    30 Jan 2021 05:28:16.857    30 Jan 2021 05:46:43.455          1106.598
                     289    30 Jan 2021 07:03:54.273    30 Jan 2021 07:20:55.289          1021.015
                     290    30 Jan 2021 08:40:44.395    30 Jan 2021 08:51:22.623           638.228
                     291    30 Jan 2021 21:49:32.183    30 Jan 2021 21:55:08.263           336.080
                     292    30 Jan 2021 23:20:51.183    30 Jan 2021 23:32:55.831           724.648
                     293    31 Jan 2021 00:54:18.794    31 Jan 2021 01:09:27.786           908.991
                     294    31 Jan 2021 02:27:30.060    31 Jan 2021 02:44:47.139          1037.078
                     295    31 Jan 2021 04:02:00.456    31 Jan 2021 04:20:08.834          1088.378
                     296    31 Jan 2021 05:37:15.220    31 Jan 2021 05:55:39.328          1104.108
                     297    31 Jan 2021 07:12:58.774    31 Jan 2021 07:29:28.392           989.618
                     298    31 Jan 2021 08:50:06.963    31 Jan 2021 08:59:12.748           545.785
                     299    31 Jan 2021 21:58:03.609    31 Jan 2021 22:04:33.427           389.818
                     300    31 Jan 2021 23:29:30.192    31 Jan 2021 23:42:07.099           756.907
                     301     1 Feb 2021 01:02:57.090     1 Feb 2021 01:18:28.034           930.944
                     302     1 Feb 2021 02:36:16.195     1 Feb 2021 02:53:44.562          1048.366
                     303     1 Feb 2021 04:10:56.607     1 Feb 2021 04:29:10.771          1094.164
                     304     1 Feb 2021 05:46:13.777     1 Feb 2021 06:04:33.527          1099.750
                     305     1 Feb 2021 07:22:04.614     1 Feb 2021 07:37:53.868           949.253
                     306     1 Feb 2021 08:59:40.730     1 Feb 2021 09:04:26.622           285.892
                     307     1 Feb 2021 22:06:41.388     1 Feb 2021 22:13:52.672           431.284
                     308     1 Feb 2021 23:38:12.098     1 Feb 2021 23:51:15.872           783.773
